Member_number,itemDescription
4676,domestic eggs
1589,dessert
4415,pip fruit
1597,other vegetables
2743,beef
3646,newspapers
2796,other vegetables
4638,nuts/prunes
2501,other vegetables
3082,tropical fruit
3942,white wine
1602,ice cream
4668,chicken
4661,whipped/sour cream
1889,root vegetables
1097,hard cheese
3033,other vegetables
2251,citrus fruit
4957,misc. beverages
2751,frozen meals
2141,yogurt
3667,fruit/vegetable juice
2531,herbs
1785,curd
3330,tropical fruit
2048,rolls/buns
3337,citrus fruit
3749,pip fruit
4190,soda
1136,root vegetables
4797,citrus fruit
1224,UHT-milk
3903,butter
1803,citrus fruit
2056,citrus fruit
1852,soda
4962,whole milk
4183,other vegetables
2673,root vegetables
4348,citrus fruit
2629,whole milk
1256,sugar
1051,hamburger meat
4014,other vegetables
4078,ham
3962,white bread
3182,beef
1013,mustard
1913,rolls/buns
2694,rolls/buns
2952,sugar
2849,pip fruit
2608,pastry
1966,rolls/buns
2361,hard cheese
4469,root vegetables
4910,soda
1526,yogurt
2772,rolls/buns
2059,whole milk
1793,beef
4753,whole milk
4915,yogurt
1281,rolls/buns
3262,pip fruit
4391,canned fish
4751,soft cheese
4643,other vegetables
4015,hamburger meat
3561,other vegetables
1018,curd
1065,hamburger meat
4779,pip fruit
4615,whole milk
4522,other vegetables
2207,rolls/buns
3866,onions
2530,bottled water
1189,tropical fruit
4499,soda
4828,frozen vegetables
1738,brown bread
1587,rolls/buns
4206,frozen vegetables
3118,other vegetables
4462,chewing gum
2872,liquor (appetizer)
1791,pork
2809,bottled beer
2568,canned beer
3758,grapes
4237,pork
4779,citrus fruit
3575,butter milk
2097,rolls/buns
3573,herbs
2425,rolls/buns
1115,other vegetables
3518,candy
3073,fruit/vegetable juice
1654,whole milk
2343,white bread
4499,fruit/vegetable juice
3910,newspapers
3893,salty snack
2713,coffee
4510,citrus fruit
1466,root vegetables
4636,soda
1554,pip fruit
3039,finished products
4124,fruit/vegetable juice
1533,cream cheese 
4110,domestic eggs
3042,other vegetables
4915,other vegetables
3271,soda
1245,coffee
4915,sausage
4062,yogurt
3687,rolls/buns
3020,rolls/buns
2388,pork
3896,newspapers
1453,citrus fruit
1294,hygiene articles
3034,sausage
1707,bottled beer
1676,other vegetables
1652,root vegetables
1573,pastry
3712,male cosmetics
3045,turkey
1827,soda
4860,pastry
4353,tropical fruit
4782,whole milk
1687,chicken
1421,beverages
1110,bottled water
2838,liver loaf
3347,soda
1159,frozen vegetables
1309,curd
3573,yogurt
4673,whole milk
2898,rolls/buns
2820,tropical fruit
4250,yogurt
3909,root vegetables
1289,root vegetables
4561,tropical fruit
1618,canned fruit
4987,other vegetables
1053,waffles
1829,brown bread
4601,sausage
3101,frozen dessert
4087,pork
3276,sausage
2901,beverages
1332,condensed milk
3368,rolls/buns
4450,beef
2843,rolls/buns
3512,other vegetables
2380,long life bakery product
2371,UHT-milk
1065,tropical fruit
1969,pork
2308,yogurt
2350,rolls/buns
1493,root vegetables
4036,pastry
3293,nuts/prunes
4646,whole milk
1163,white bread
2273,tropical fruit
3384,sugar
4940,soda
4528,cookware
4367,shopping bags
1283,butter
2699,sliced cheese
4483,other vegetables
3841,specialty cheese
4495,whole milk
1565,chewing gum
3961,tropical fruit
2044,pip fruit
2961,pastry
2857,meat
1797,hard cheese
1912,misc. beverages
3515,root vegetables
1052,soda
4888,onions
2925,male cosmetics
4145,onions
1028,soda
3779,ham
3890,newspapers
3608,waffles
2828,meat
1110,soda
2811,chocolate
1859,soda
1783,bottled water
2272,whole milk
3159,other vegetables
4846,pot plants
2314,whipped/sour cream
2646,napkins
2443,seasonal products
4979,brown bread
3176,bottled water
3641,root vegetables
3560,soft cheese
2956,rolls/buns
4009,canned fish
4597,finished products
2438,tropical fruit
1189,bottled beer
4527,newspapers
2731,whole milk
1863,bottled beer
3532,whole milk
3309,beef
1535,napkins
2764,tropical fruit
4140,brown bread
2363,white bread
2496,zwieback
2814,root vegetables
1100,whole milk
2005,brown bread
2673,yogurt
3876,domestic eggs
3483,citrus fruit
4130,liquor
2528,candy
4153,root vegetables
4407,soda
2907,citrus fruit
3541,rolls/buns
2882,sliced cheese
3507,photo/film
3104,dessert
1286,bottled beer
3756,yogurt
2242,frozen vegetables
4481,frozen meals
4910,frozen meals
1287,canned fruit
3067,frozen potato products
1204,root vegetables
4318,pastry
3218,cereals
2772,soda
3823,whole milk
1325,napkins
1211,specialty bar
1613,tropical fruit
3706,frozen potato products
3435,other vegetables
1828,canned beer
4204,curd
1004,canned beer
1520,beef
3031,whole milk
2450,salt
1878,root vegetables
3012,whole milk
3484,pip fruit
1908,misc. beverages
4126,coffee
3359,shopping bags
2747,whole milk
2467,onions
4993,onions
1738,whole milk
2755,salty snack
3035,misc. beverages
4267,rolls/buns
1907,hamburger meat
3568,bottled beer
1798,beverages
3289,hard cheese
4853,misc. beverages
2144,pork
2079,turkey
3689,pastry
4913,rolls/buns
3830,margarine
2829,pork
4138,salty snack
3484,UHT-milk
2413,yogurt
2164,pork
3393,whole milk
4325,ice cream
1205,whole milk
4793,pork
4194,root vegetables
2018,tropical fruit
1881,soda
3967,hard cheese
4305,whole milk
2637,whole milk
2631,frozen vegetables
1630,whole milk
4860,bottled water
2014,dessert
1197,pip fruit
1572,bottled beer
1833,other vegetables
3737,other vegetables
3860,rolls/buns
1954,hamburger meat
1923,meat
1052,beef
2773,female sanitary products
2070,skin care
2632,other vegetables
4999,other vegetables
3158,citrus fruit
3763,tropical fruit
1740,tropical fruit
3548,tropical fruit
2404,soda
2258,soda
2795,root vegetables
1270,cake bar
4803,root vegetables
1542,hamburger meat
4929,beef
4620,root vegetables
2836,meat
1692,chewing gum
4563,root vegetables
4210,tropical fruit
1971,white wine
1280,butter milk
2632,beef
3430,tropical fruit
3554,white bread
1924,root vegetables
1064,cream cheese 
3208,fruit/vegetable juice
1895,other vegetables
1865,onions
4316,whole milk
3411,other vegetables
4855,whole milk
3782,pip fruit
4394,curd
2112,soda
3768,dessert
1109,curd
3850,frozen vegetables
1466,root vegetables
3785,other vegetables
3116,ham
3705,frozen meals
4916,grapes
3467,beef
2523,pip fruit
2916,whole milk
3675,pork
1206,tropical fruit
1621,sugar
2629,tropical fruit
2712,rolls/buns
2486,curd
3166,other vegetables
3120,beef
4060,other vegetables
4443,frozen meals
2180,other vegetables
2552,pot plants
4022,roll products 
2617,root vegetables
2937,sausage
3516,long life bakery product
3582,tropical fruit
2022,curd cheese
2345,whipped/sour cream
2837,brandy
3715,whole milk
3010,pork
2428,yogurt
4512,root vegetables
1194,whole milk
2492,soft cheese
3732,butter
1653,citrus fruit
3117,cat food
1506,cat food
3110,processed cheese
2274,pork
3074,processed cheese
4969,other vegetables
2546,fish
4434,domestic eggs
2931,pip fruit
1329,canned beer
3797,semi-finished bread
1525,sausage
3704,other vegetables
3221,soft cheese
1118,bottled beer
4891,specialty bar
2716,yogurt
1083,specialty chocolate
1345,soda
3122,other vegetables
2306,cream cheese 
1410,specialty chocolate
2956,soda
4389,chicken
4946,bottled beer
3893,pip fruit
3401,pip fruit
3082,pip fruit
2437,soda
3909,specialty bar
3207,bottled water
4526,UHT-milk
1288,citrus fruit
1013,hard cheese
1615,herbs
3956,domestic eggs
1868,ham
2863,chocolate
3052,ketchup
2612,white bread
4362,chewing gum
4512,pip fruit
4176,other vegetables
1766,dessert
4261,root vegetables
4683,cling film/bags
1443,tropical fruit
1692,dessert
2283,citrus fruit
3562,butter
1004,rolls/buns
1405,other vegetables
2141,rolls/buns
2954,root vegetables
2230,meat
1765,meat
4735,brown bread
3603,other vegetables
1774,other vegetables
4018,specialty bar
2437,bottled water
2847,hamburger meat
3832,condensed milk
4433,whole milk
2358,root vegetables
2540,whole milk
2298,domestic eggs
4618,newspapers
4667,canned beer
4527,citrus fruit
1521,whole milk
3403,bottled water
3831,tropical fruit
3141,frozen vegetables
2732,frozen fish
3905,domestic eggs
3100,UHT-milk
1549,liver loaf
3726,pip fruit
1429,packaged fruit/vegetables
2928,beef
3482,root vegetables
2410,chicken
4448,UHT-milk
3095,beef
4445,rolls/buns
3148,ham
4746,sausage
2814,whole milk
4494,pork
2631,whole milk
3021,chicken
1530,pastry
4202,citrus fruit
3931,margarine
1644,salty snack
3149,whipped/sour cream
2122,berries
3831,soda
3583,other vegetables
3848,soft cheese
1264,tropical fruit
2060,salty snack
4116,root vegetables
4727,other vegetables
1692,other vegetables
4370,other vegetables
1355,curd
2549,other vegetables
2612,berries
1094,hamburger meat
2932,whole milk
4402,meat
3942,canned fish
2644,sausage
3116,frozen meals
1188,butter milk
1387,rolls/buns
4468,onions
1652,bottled beer
1234,root vegetables
3480,beverages
3946,whole milk
2784,berries
3743,whole milk
2313,other vegetables
2746,hamburger meat
4543,pastry
1692,canned beer
4163,other vegetables
1379,bottled water
1442,specialty bar
3517,butter
2177,yogurt
2086,root vegetables
1169,soda
4113,other vegetables
4807,onions
3688,rice
4252,ham
1136,instant coffee
3590,specialty bar
3523,bottled water
2801,dessert
3264,root vegetables
4033,soft cheese
4944,meat
1740,whipped/sour cream
1108,frozen potato products
3327,frozen potato products
2148,citrus fruit
1932,specialty chocolate
1943,UHT-milk
1416,canned beer
1592,other vegetables
1452,margarine
2138,chocolate
3482,pastry
3499,berries
1668,turkey
2298,soda
1214,syrup
1937,whole milk
2312,pip fruit
2469,pet care
4826,whole milk
2127,pastry
3409,grapes
1162,misc. beverages
4723,root vegetables
2254,whipped/sour cream
3684,root vegetables
2746,bottled beer
1275,citrus fruit
1654,pip fruit
4463,pip fruit
2658,root vegetables
3018,tropical fruit
3934,specialty bar
1426,bottled water
2898,rolls/buns
2004,tropical fruit
2551,other vegetables
1816,pickled vegetables
3992,specialty bar
1211,finished products
3356,other vegetables
4690,rolls/buns
2540,misc. beverages
1948,other vegetables
2146,whole milk
4406,sugar
4769,napkins
2371,meat
2986,pork
4084,fruit/vegetable juice
2218,sausage
4649,canned beer
2722,root vegetables
1259,fruit/vegetable juice
3129,sweet spreads
1223,packaged fruit/vegetables
1457,root vegetables
2987,misc. beverages
3811,other vegetables
3899,white bread
3013,UHT-milk
1456,liquor
3616,soda
2612,tropical fruit
3505,white wine
4221,bottled water
4540,frozen vegetables
3356,beef
3281,yogurt
2092,salty snack
2620,hamburger meat
4456,specialty bar
1253,pastry
4925,pip fruit
3663,chewing gum
2539,bottled beer
3809,fruit/vegetable juice
3587,misc. beverages
4103,yogurt
3137,root vegetables
4368,coffee
4660,pork
3967,chocolate
4193,ketchup
4243,pot plants
1495,whipped/sour cream
4813,soda
2445,chicken
2213,yogurt
4591,berries
4663,fruit/vegetable juice
4526,ice cream
4367,root vegetables
4877,bottled beer
4814,pickled vegetables
3145,tropical fruit
1589,hamburger meat
2273,bottled water
4339,whole milk
2954,fruit/vegetable juice
2935,pastry
1618,root vegetables
1745,tropical fruit
1689,rolls/buns
2560,shopping bags
1779,citrus fruit
1822,dessert
1711,oil
1020,canned beer
4538,other vegetables
3138,other vegetables
4030,brown bread
4453,whole milk
1167,rolls/buns
3302,canned beer
4398,specialty chocolate
1731,other vegetables
2796,whipped/sour cream
3102,shopping bags
1801,canned beer
2909,rolls/buns
4256,whole milk
3751,specialty chocolate
3758,whole milk
2218,brown bread
1320,mayonnaise
2116,fruit/vegetable juice
3594,specialty chocolate
3989,chicken
4864,whole milk
2100,chocolate
1263,frozen meals
1286,long life bakery product
2870,pork
3256,cream cheese 
2617,other vegetables
1635,whole milk
4401,bottled beer
4931,berries
4641,waffles
1715,newspapers
2536,photo/film
4108,whipped/sour cream
4481,brown bread
2196,whole milk
2446,cake bar
4797,whole milk
2802,whole milk
3255,tropical fruit
2432,brandy
4592,tropical fruit
4148,whole milk
2541,soda
3570,soda
1839,berries
1793,brown bread
3914,shopping bags
4995,rice
3026,butter milk
4486,yogurt
1413,sugar
1995,frozen meals
1036,fruit/vegetable juice
3104,root vegetables
2045,whole milk
1490,detergent
4246,tropical fruit
2537,UHT-milk
4413,nuts/prunes
2072,newspapers
2219,margarine
3691,berries
4832,turkey
1170,chocolate
1198,citrus fruit
1606,dog food
3680,shopping bags
1477,packaged fruit/vegetables
1197,beef
2699,nuts/prunes
2042,pip fruit
3898,hamburger meat
4501,brown bread
3233,chocolate
4947,white wine
4314,other vegetables
4391,meat spreads
4520,whole milk
1075,UHT-milk
2320,margarine
3019,dishes
1516,specialty chocolate
4310,candy
4788,other vegetables
3761,soft cheese
2172,berries
4939,fruit/vegetable juice
3112,whole milk
1988,whipped/sour cream
3744,bottled water
3545,canned beer
1801,white bread
2014,dessert
1818,butter milk
4121,whole milk
4416,whole milk
4315,rolls/buns
3537,frozen vegetables
1496,root vegetables
1424,grapes
2870,tropical fruit
4573,whole milk
4603,brown bread
3248,liquor
4458,pip fruit
3517,curd
3469,chicken
4863,herbs
4076,rolls/buns
1457,whole milk
1568,candy
1231,yogurt
4086,seasonal products
2311,pastry
3498,zwieback
4249,canned beer
4741,ice cream
3286,artif. sweetener
1865,ice cream
1991,tropical fruit
2289,UHT-milk
4080,canned beer
4692,grapes
1384,canned beer
1275,ice cream
1536,root vegetables
1170,pip fruit
1978,turkey
2663,tropical fruit
3178,butter
3039,butter
4206,whole milk
3893,sausage
4963,white wine
1829,beverages
1716,whole milk
1575,dessert
3900,canned vegetables
4076,tropical fruit
3420,margarine
1887,oil
4376,other vegetables
4837,other vegetables
3698,yogurt
3288,pip fruit
3044,rolls/buns
3877,whole milk
2040,rolls/buns
2557,sausage
4672,cream cheese 
1559,sausage
4340,bottled beer
1393,yogurt
3695,frozen vegetables
3078,yogurt
4937,curd
1638,prosecco
1908,frozen vegetables
2104,whole milk
3566,other vegetables
2279,bottled water
1033,fruit/vegetable juice
3146,rolls/buns
4121,yogurt
3798,chocolate marshmallow
3939,pip fruit
3473,tropical fruit
1750,root vegetables
3994,soft cheese
3916,canned beer
3779,liquor
2547,soda
4392,pork
3554,artif. sweetener
4534,soda
2040,canned beer
4575,rolls/buns
3086,rolls/buns
4479,brown bread
3022,whole milk
3248,soda
4501,chicken
1023,chicken
4380,UHT-milk
1829,pip fruit
3745,root vegetables
1127,citrus fruit
4943,brown bread
3294,grapes
2031,rolls/buns
1641,other vegetables
1114,root vegetables
1910,sliced cheese
4340,soft cheese
2937,rolls/buns
2727,hamburger meat
2812,whipped/sour cream
4659,grapes
4091,other vegetables
2915,citrus fruit
2795,rolls/buns
1781,tropical fruit
2476,pip fruit
3405,whole milk
3243,whole milk
4972,citrus fruit
1574,frozen fish
2579,liquor
4322,misc. beverages
2784,misc. beverages
1435,dessert
1471,tropical fruit
2761,frozen vegetables
2807,UHT-milk
4561,whole milk
2184,onions
2053,rolls/buns
4400,rolls/buns
3429,fruit/vegetable juice
2771,long life bakery product
1268,oil
3235,whole milk
3816,root vegetables
2697,berries
4960,root vegetables
4334,bottled beer
1462,salty snack
1613,other vegetables
3120,beef
3396,frozen fish
4403,tropical fruit
2432,tropical fruit
4397,rolls/buns
4700,whole milk
2559,citrus fruit
3759,newspapers
4470,tropical fruit
1636,root vegetables
4870,hamburger meat
3125,tropical fruit
1929,butter
2871,newspapers
3278,frozen dessert
2656,bottled water
3850,rolls/buns
1789,hamburger meat
2390,other vegetables
1162,white bread
4426,whole milk
2339,brown bread
2277,curd
3863,beverages
4596,beverages
4066,whole milk
4312,root vegetables
2804,rolls/buns
2981,fruit/vegetable juice
1682,liquor
4586,rolls/buns
2011,mayonnaise
2147,tropical fruit
3476,meat
3734,salty snack
4505,sweet spreads
1333,curd
3990,salty snack
3137,other vegetables
2949,bottled water
4838,flower (seeds)
3303,root vegetables
1803,onions
2348,pastry
2193,whole milk
2693,white bread
2885,butter
2629,onions
1966,whole milk
4638,root vegetables
4695,other vegetables
3523,brown bread
3592,canned beer
1871,tropical fruit
4387,white bread
1078,chicken
2989,citrus fruit
1237,cleaner
2043,other vegetables
3936,other vegetables
4338,tropical fruit
4270,nut snack
1950,other vegetables
2940,citrus fruit
1287,soft cheese
1990,rolls/buns
1346,white wine
1404,rolls/buns
3980,pip fruit
2917,yogurt
4196,rolls/buns
4941,liquor
2085,soda
4624,fruit/vegetable juice
3864,other vegetables
3697,whole milk
4624,coffee
2673,coffee
3943,baking powder
2432,whole milk
2901,domestic eggs
4440,butter milk
4934,root vegetables
4256,specialty bar
1246,tropical fruit
2305,tropical fruit
4308,specialty bar
2262,whole milk
4963,other vegetables
4550,chicken
1734,napkins
1050,whipped/sour cream
2788,dessert
1227,yogurt
2374,canned beer
3131,long life bakery product
1722,canned beer
3044,soda
4849,onions
1418,citrus fruit
1792,pork
4218,soda
1376,dessert
2944,dog food
3448,beef
4188,soda
1278,root vegetables
1354,red/blush wine
1690,citrus fruit
4364,brown bread
4783,other vegetables
3437,hamburger meat
4534,tropical fruit
2421,bottled beer
2938,curd
2750,domestic eggs
4258,yogurt
3023,beef
4165,other vegetables
4331,coffee
2193,beef
4190,chicken
4756,fruit/vegetable juice
3057,soda
2362,onions
4402,cream cheese 
4191,other vegetables
1312,tropical fruit
4179,hamburger meat
2608,yogurt
4991,yogurt
2517,whipped/sour cream
4745,cat food
1248,margarine
3799,hamburger meat
2850,pip fruit
1788,canned beer
3746,chicken
1888,chicken
1123,pip fruit
4168,chicken
2979,pip fruit
1417,UHT-milk
3529,pot plants
3119,tropical fruit
1286,root vegetables
3670,rolls/buns
1869,root vegetables
3219,tropical fruit
3619,tropical fruit
3136,soda
3922,soda
2204,other vegetables
1115,whipped/sour cream
2746,root vegetables
4957,whole milk
3814,bottled water
2435,citrus fruit
2955,root vegetables
4412,UHT-milk
4401,butter
4046,meat
1343,red/blush wine
4854,root vegetables
2798,rolls/buns
2912,whole milk
2941,rolls/buns
2594,root vegetables
4383,whole milk
4291,whole milk
3122,root vegetables
1434,chicken
2206,frozen vegetables
4758,pasta
3370,root vegetables
3295,hamburger meat
4325,pip fruit
3089,butter milk
4758,rolls/buns
3748,hamburger meat
1249,soda
4056,rolls/buns
4673,curd
4589,pork
1995,other vegetables
2663,other vegetables
4713,bottled water
3353,root vegetables
1043,napkins
3227,spices
3210,citrus fruit
4696,root vegetables
4573,soft cheese
4409,domestic eggs
2994,whole milk
4233,chicken
2353,soda
4561,rolls/buns
1182,candy
1223,citrus fruit
3837,newspapers
1268,other vegetables
1649,rolls/buns
1113,whole milk
3248,soups
3803,butter
2389,turkey
4266,yogurt
2719,whole milk
1679,rolls/buns
3861,pip fruit
3402,flour
3559,whole milk
4958,frozen meals
4780,chewing gum
4162,curd cheese
3813,beef
4624,frozen vegetables
2004,pip fruit
3978,baking powder
4124,light bulbs
4280,soda
3279,waffles
4649,chewing gum
2293,shopping bags
3030,citrus fruit
4856,tropical fruit
3917,pip fruit
1486,soda
2334,root vegetables
2097,white wine
4169,rolls/buns
4821,beverages
1487,rolls/buns
3308,other vegetables
2611,chewing gum
3203,soda
4166,other vegetables
1010,pip fruit
4890,whole milk
3763,citrus fruit
1867,butter
1532,liquor (appetizer)
2923,citrus fruit
3489,whole milk
4370,yogurt
1086,canned beer
4156,packaged fruit/vegetables
2310,mustard
1073,yogurt
4818,pip fruit
2724,tropical fruit
2570,yogurt
4495,long life bakery product
1423,citrus fruit
2298,hard cheese
1442,citrus fruit
4265,popcorn
3589,other vegetables
3011,sugar
4931,margarine
3068,hamburger meat
2736,turkey
2243,meat
1769,bottled beer
1361,whole milk
4708,pastry
4019,root vegetables
2441,root vegetables
2863,hamburger meat
1196,pip fruit
4418,nuts/prunes
2911,domestic eggs
3101,meat
4948,other vegetables
1478,whipped/sour cream
2126,other vegetables
2555,beef
3170,white bread
2244,coffee
1666,pip fruit
4415,tropical fruit
4785,soda
4598,beverages
1636,white bread
3258,tropical fruit
4065,semi-finished bread
1501,chicken
1120,tropical fruit
2014,yogurt
4533,root vegetables
3017,frozen meals
2152,whipped/sour cream
2231,citrus fruit
3314,long life bakery product
4211,whipped/sour cream
4899,pot plants
1890,pork
1268,white wine
3172,bottled water
1444,pip fruit
4758,pip fruit
3125,pip fruit
3258,curd
4474,bottled water
1204,whole milk
4212,dessert
3106,ham
2284,tropical fruit
3849,whole milk
2588,whole milk
3733,fruit/vegetable juice
4306,cream cheese 
1718,domestic eggs
2893,other vegetables
2806,onions
4710,pork
2848,butter
4807,pickled vegetables
3747,sausage
2048,root vegetables
4358,tropical fruit
1581,newspapers
3815,pet care
2176,rolls/buns
4726,rolls/buns
1844,citrus fruit
1458,pip fruit
4491,tropical fruit
1013,root vegetables
1538,sausage
3420,pip fruit
2414,chicken
3714,other vegetables
2484,whipped/sour cream
2315,hamburger meat
4056,tropical fruit
2630,root vegetables
2324,misc. beverages
1185,ice cream
2415,candy
3524,citrus fruit
4583,tropical fruit
1827,whole milk
4393,whole milk
3177,pip fruit
3201,cream cheese 
4033,whipped/sour cream
3059,meat
4006,pet care
1070,citrus fruit
1116,other vegetables
3422,root vegetables
4720,UHT-milk
1595,bottled beer
3776,shopping bags
1058,chicken
4313,white wine
1618,whole milk
3834,flour
4493,waffles
2843,rum
1754,whipped/sour cream
2107,rolls/buns
4157,salty snack
2029,other vegetables
1122,chicken
2993,yogurt
4938,berries
2753,whole milk
3450,root vegetables
4745,pip fruit
2520,dessert
1260,sausage
4121,citrus fruit
3145,citrus fruit
3479,rolls/buns
1166,root vegetables
3021,root vegetables
2489,bottled beer
3343,whole milk
3028,white bread
4866,citrus fruit
4943,finished products
1636,other vegetables
3593,citrus fruit
2835,whole milk
1383,onions
2545,citrus fruit
4719,whole milk
2065,specialty bar
2941,bottled water
4430,citrus fruit
4019,chewing gum
1407,white bread
2960,frozen meals
1343,chicken
4715,sausage
3174,bottled water
1623,canned fish
2506,bottled water
4799,dessert
2360,rolls/buns
4822,whole milk
1554,beef
1867,other vegetables
2148,tropical fruit
3863,citrus fruit
1010,bottled water
2768,pastry
2218,candy
3785,root vegetables
4823,UHT-milk
1475,pastry
1052,root vegetables
2565,yogurt
4259,canned beer
1061,whipped/sour cream
4001,dessert
1620,frozen meals
3458,rolls/buns
2178,beef
1995,other vegetables
2161,root vegetables
3349,organic sausage
3742,soda
1244,candy
3609,specialty bar
2375,berries
2974,tropical fruit
3030,other vegetables
3737,whipped/sour cream
3619,curd
3705,fruit/vegetable juice
3974,whole milk
1798,bottled beer
3272,whipped/sour cream
2666,whole milk
2717,fruit/vegetable juice
1095,yogurt
1480,pip fruit
2865,root vegetables
1482,rolls/buns
3184,whole milk
1468,root vegetables
4077,bottled water
3888,pork
3972,baking powder
2967,whole milk
3380,other vegetables
2207,onions
3600,butter milk
4618,cocoa drinks
2680,other vegetables
1651,frozen vegetables
2934,whole milk
2860,flower soil/fertilizer
1307,other vegetables
4628,ham
1240,soda
3666,whole milk
4008,other vegetables
3386,other vegetables
2472,herbs
1323,whole milk
1654,whole milk
3620,soda
4952,beef
3966,whole milk
1964,tropical fruit
2504,curd
4500,soft cheese
1454,chicken
1066,root vegetables
3692,beef
2445,pip fruit
1860,sausage
1153,chicken
3317,soda
1957,root vegetables
4303,root vegetables
3556,curd
1282,other vegetables
4034,citrus fruit
2807,whole milk
2232,domestic eggs
2303,beef
2050,UHT-milk
3381,grapes
3402,white bread
3072,hamburger meat
3381,butter
1367,whole milk
1895,onions
3267,brown bread
4192,root vegetables
2274,chicken
4430,sausage
4329,tropical fruit
1922,whole milk
2154,whole milk
4523,newspapers
1136,citrus fruit
3439,whole milk
2980,whole milk
2509,cling film/bags
4845,butter
3589,salt
4505,tropical fruit
2744,rolls/buns
4236,chicken
3928,citrus fruit
1207,ham
2578,house keeping products
1553,citrus fruit
3942,other vegetables
1583,citrus fruit
2133,other vegetables
4860,rolls/buns
4548,herbs
2610,hamburger meat
2344,rolls/buns
2920,margarine
3847,berries
1991,white wine
2241,root vegetables
2794,chicken
3871,rolls/buns
4085,bottled water
3964,root vegetables
1111,bottled water
1294,root vegetables
1338,UHT-milk
1079,red/blush wine
1794,citrus fruit
4715,root vegetables
4694,tropical fruit
4156,cat food
4264,whole milk
1732,citrus fruit
1161,beef
4058,whole milk
4183,bottled beer
4371,baking powder
3218,pastry
3094,whole milk
2082,fruit/vegetable juice
3015,ham
4582,pork
4851,sausage
3766,pork
4199,root vegetables
3663,pork
2044,yogurt
1566,tropical fruit
3698,shopping bags
3815,whole milk
4634,citrus fruit
2051,rolls/buns
2252,soda
4502,pip fruit
2169,tropical fruit
3237,other vegetables
1999,tropical fruit
2175,turkey
4177,beef
2014,other vegetables
2991,UHT-milk
3334,root vegetables
1580,tropical fruit
4094,yogurt
4163,root vegetables
2991,root vegetables
4744,other vegetables
3896,pip fruit
2560,root vegetables
2236,bottled beer
2778,grapes
3960,curd
2258,seasonal products
4286,meat
2239,domestic eggs
4728,pastry
3439,candy
3353,chocolate
2127,pip fruit
1513,whipped/sour cream
1134,pastry
1286,pork
1123,rolls/buns
4327,coffee
4814,pip fruit
3277,grapes
4272,cat food
3363,root vegetables
1896,butter
2524,curd
4243,other vegetables
4930,tropical fruit
3465,condensed milk
3938,other vegetables
2849,UHT-milk
1894,root vegetables
2738,beef
1000,whole milk
2626,chocolate
4216,brown bread
1810,pork
1125,root vegetables
4392,packaged fruit/vegetables
3957,canned vegetables
4084,bottled water
3672,sugar
3531,candy
2066,frozen vegetables
4376,yogurt
1662,rolls/buns
3728,dessert
2045,tropical fruit
2067,beverages
3743,tropical fruit
1735,curd
1547,onions
2451,pip fruit
1661,root vegetables
2365,hard cheese
4932,pip fruit
2310,root vegetables
2138,soda
2903,tropical fruit
1512,detergent
3204,cream cheese 
3324,dog food
1653,whole milk
1428,margarine
4598,root vegetables
4233,pork
4130,berries
3537,cream cheese 
3475,other vegetables
2799,other vegetables
1188,other vegetables
1747,curd
4782,processed cheese
1609,other vegetables
1077,other vegetables
1190,hamburger meat
2746,dental care
2556,other vegetables
2351,instant coffee
3570,other vegetables
2550,candy
2031,ham
2160,butter
1420,domestic eggs
2960,misc. beverages
3334,pip fruit
3840,bottled water
3516,dessert
3435,tropical fruit
2428,whole milk
3639,root vegetables
4173,candy
4275,other vegetables
2320,tropical fruit
2522,fruit/vegetable juice
2399,whipped/sour cream
4097,soda
1517,ice cream
4187,canned beer
2553,canned beer
4164,dessert
3123,packaged fruit/vegetables
1466,hamburger meat
4105,liquor (appetizer)
3530,shopping bags
2960,UHT-milk
2676,citrus fruit
4318,cream cheese 
2956,butter milk
1360,curd
2285,pastry
4117,liquor (appetizer)
3009,yogurt
1069,brown bread
1194,pip fruit
4406,canned beer
2028,dessert
1500,bottled beer
2617,chewing gum
2545,other vegetables
3356,soda
3557,yogurt
1311,other vegetables
4803,whole milk
3685,tropical fruit
4206,rolls/buns
1457,long life bakery product
4610,sliced cheese
2802,whole milk
3232,beverages
1623,soda
2029,yogurt
2180,other vegetables
4654,root vegetables
3462,berries
2279,processed cheese
2027,rolls/buns
2667,root vegetables
1379,photo/film
4025,sausage
2958,butter
4349,soda
2850,rolls/buns
2306,tropical fruit
4941,yogurt
1788,brown bread
2398,dessert
4046,pip fruit
3976,sliced cheese
1905,photo/film
4897,pip fruit
2237,bottled water
3649,rolls/buns
1699,liquor (appetizer)
1504,yogurt
4488,beverages
1082,bottled water
1966,cream cheese 
2169,citrus fruit
1711,yogurt
1827,condensed milk
4389,long life bakery product
2625,brown bread
3984,other vegetables
4709,citrus fruit
3115,cream cheese 
4319,newspapers
2183,whipped/sour cream
2338,other vegetables
2156,rolls/buns
2298,root vegetables
4472,cake bar
4835,shopping bags
3581,soda
4682,citrus fruit
2149,whole milk
2990,turkey
2439,canned fruit
4406,pip fruit
2463,root vegetables
4047,yogurt
1343,shopping bags
2628,berries
3467,pastry
3320,hamburger meat
3126,sausage
4991,root vegetables
4317,canned beer
3332,pork
4487,house keeping products
1864,oil
2812,brown bread
1561,onions
2555,brown bread
3517,hard cheese
4972,coffee
